Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A171J7S6	A0A171J7S6_LACRH	unreviewed	Probable RNA 2'-phosphotransferase (EC 2.7.1.-)	kptA BN934_01751	Lactobacillus rhamnosus	189
A0A171J9Z3	A0A171J9Z3_LACRH	unreviewed	Integrase	int BN934_02527	Lactobacillus rhamnosus	394
A0A171J761	A0A171J761_LACRH	unreviewed	Uncharacterized protein	BN934_01535	Lactobacillus rhamnosus	68
A0A171J7R9	A0A171J7R9_LACRH	unreviewed	Polyketide antibiotics exporter	BN934_01744	Lactobacillus rhamnosus	538
A0A171J711	A0A171J711_LACRH	unreviewed	CRISPR-associated endonuclease Cas9 (EC 3.1.-.-)	csn1_1 cas9 BN934_01485	Lactobacillus rhamnosus	1148
A0A171J733	A0A171J733_LACRH	unreviewed	Metallophosphoesterase	BN934_01507	Lactobacillus rhamnosus	354
A0A171J8R1	A0A171J8R1_LACRH	unreviewed	ABC transporter permease	BN934_02093	Lactobacillus rhamnosus	502
A0A171J968	A0A171J968_LACRH	unreviewed	Pyruvate kinase (EC 2.7.1.40)	BN934_02250	Lactobacillus rhamnosus	588
A0A171J6C0	A0A171J6C0_LACRH	unreviewed	Energy-coupling factor transporter ATP-binding protein EcfA (ECF transporter A component EcfA) (EC 3.6.3.-)	cbiO_4 ecfA BN934_01243	Lactobacillus rhamnosus	281
A0A171J3K4	A0A171J3K4_LACRH	unreviewed	Uncharacterized protein	BN934_00268	Lactobacillus rhamnosus	209
A0A171J8G7	A0A171J8G7_LACRH	unreviewed	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA BN934_01998	Lactobacillus rhamnosus	301
A0A171J3K3	A0A171J3K3_LACRH	unreviewed	Aminopeptidase N	pepN BN934_00267	Lactobacillus rhamnosus	844
A0A171J3U6	A0A171J3U6_LACRH	unreviewed	PTS system transporter subunit IIC	fruA-2 BN934_00360	Lactobacillus rhamnosus	361
A0A171J6I2	A0A171J6I2_LACRH	unreviewed	Two component sensor transduction histidine kinase, bacteriocin	hpk3_1 BN934_01305	Lactobacillus rhamnosus	277
A0A171JA55	A0A171JA55_LACRH	unreviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA_3 gatA BN934_02590	Lactobacillus rhamnosus	484
A0A171J5E3	A0A171J5E3_LACRH	unreviewed	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH BN934_00909	Lactobacillus rhamnosus	467
A0A171J8Y9	A0A171J8Y9_LACRH	unreviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE BN934_02171	Lactobacillus rhamnosus	212
A0A171J439	A0A171J439_LACRH	unreviewed	LacI family transcriptional regulator	rbsR BN934_00453	Lactobacillus rhamnosus	339
A0A171J434	A0A171J434_LACRH	unreviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK BN934_00448	Lactobacillus rhamnosus	313
A0A171J9C7	A0A171J9C7_LACRH	unreviewed	Ribonuclease J (RNase J) (EC 3.1.-.-)	rnj BN934_02309	Lactobacillus rhamnosus	536
A0A171J7W0	A0A171J7W0_LACRH	unreviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (Seryl-tRNA(Ser/Sec) synthetase)	serS BN934_01785	Lactobacillus rhamnosus	427
A0A171J402	A0A171J402_LACRH	unreviewed	Insertion element	iso-IS3 BN934_00416	Lactobacillus rhamnosus	280
A0A171J4V9	A0A171J4V9_LACRH	unreviewed	DNA-binding ferritin-like protein	BN934_00724	Lactobacillus rhamnosus	194
A0A171J7T7	A0A171J7T7_LACRH	unreviewed	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase	citX BN934_01762	Lactobacillus rhamnosus	182
A0A171JA97	A0A171JA97_LACRH	unreviewed	Lipopolysaccharide biosynthesis glycosyltransferase	arbX BN934_02633	Lactobacillus rhamnosus	279
A0A171J4I6	A0A171J4I6_LACRH	unreviewed	PTS system mannose/fructose/N-acetylgalactosamine-specific transporter	BN934_00601	Lactobacillus rhamnosus	244
A0A171J5V7	A0A171J5V7_LACRH	unreviewed	Aminotransferase	avtA BN934_01073	Lactobacillus rhamnosus	400
A0A171J7X7	A0A171J7X7_LACRH	unreviewed	Dipeptide/tripeptide permease	BN934_01804	Lactobacillus rhamnosus	488
A0A171J6P4	A0A171J6P4_LACRH	unreviewed	Uncharacterized protein	BN934_01367	Lactobacillus rhamnosus	36
A0A171JAT3	A0A171JAT3_LACRH	unreviewed	Uncharacterized protein	BN934_02822	Lactobacillus rhamnosus	41
A0A171J2Y9	A0A171J2Y9_LACRH	unreviewed	Biotin operon repressor	birA BN934_00049	Lactobacillus rhamnosus	249
A0A171J5A6	A0A171J5A6_LACRH	unreviewed	Membrane protein	BN934_00872	Lactobacillus rhamnosus	504
A0A171J3B9	A0A171J3B9_LACRH	unreviewed	Uncharacterized protein	BN934_00182	Lactobacillus rhamnosus	75
A0A171J8D5	A0A171J8D5_LACRH	unreviewed	Ornithine decarboxylase inducible	speF BN934_01965	Lactobacillus rhamnosus	697
A0A171J8N6	A0A171J8N6_LACRH	unreviewed	Uncharacterized protein	BN934_02067	Lactobacillus rhamnosus	3508
A0A171JAU9	A0A171JAU9_LACRH	unreviewed	Uncharacterized protein	BN934_02838	Lactobacillus rhamnosus	118
A0A171J9V0	A0A171J9V0_LACRH	unreviewed	Phage major tail protein, TP901-1 family	BN934_02484	Lactobacillus rhamnosus	216
A0A171J4P4	A0A171J4P4_LACRH	unreviewed	Uncharacterized protein	BN934_00659	Lactobacillus rhamnosus	98
A0A171J854	A0A171J854_LACRH	unreviewed	Pseudouridine synthase (EC 5.4.99.-)	rluD_2 BN934_01884	Lactobacillus rhamnosus	278
A0A171J6F8	A0A171J6F8_LACRH	unreviewed	Uncharacterized protein	BN934_01281	Lactobacillus rhamnosus	62
A0A171J3I6	A0A171J3I6_LACRH	unreviewed	Uncharacterized protein	BN934_00249	Lactobacillus rhamnosus	39
A0A171J437	A0A171J437_LACRH	unreviewed	Ribose import ATP-binding protein RbsA (EC 3.6.3.17)	rbsA BN934_00451	Lactobacillus rhamnosus	524
A0A171JA38	A0A171JA38_LACRH	unreviewed	ATP-dependent RNA helicase	rhe BN934_02573	Lactobacillus rhamnosus	431
A0A171J749	A0A171J749_LACRH	unreviewed	ATP-grasp enzyme	yxbA BN934_01523	Lactobacillus rhamnosus	419
A0A171J891	A0A171J891_LACRH	unreviewed	Rrf2 family transcriptional regulator	BN934_01921	Lactobacillus rhamnosus	145
A0A171JAQ4	A0A171JAQ4_LACRH	unreviewed	Uncharacterized protein	BN934_02793	Lactobacillus rhamnosus	47
A0A171J3N8	A0A171J3N8_LACRH	unreviewed	Damage inducible-like protein	din_1 BN934_00302	Lactobacillus rhamnosus	90
A0A171J7G7	A0A171J7G7_LACRH	unreviewed	ADP-glucose pyrophosphorylase	BN934_01641	Lactobacillus rhamnosus	389
A0A171J8W7	A0A171J8W7_LACRH	unreviewed	Uncharacterized protein	BN934_02149	Lactobacillus rhamnosus	34
A0A171J3A1	A0A171J3A1_LACRH	unreviewed	Acid-resistance membrane protein	BN934_00164	Lactobacillus rhamnosus	174
A0A171J4T7	A0A171J4T7_LACRH	unreviewed	ABC transporter ATPase	BN934_00702	Lactobacillus rhamnosus	228
A0A171J4I2	A0A171J4I2_LACRH	unreviewed	Uncharacterized protein	BN934_00597	Lactobacillus rhamnosus	377
A0A171J408	A0A171J408_LACRH	unreviewed	C4-dicarboxylate transporter	dcuC BN934_00422	Lactobacillus rhamnosus	468
A0A171JAS8	A0A171JAS8_LACRH	unreviewed	Uncharacterized protein	BN934_02817	Lactobacillus rhamnosus	60
A0A171J739	A0A171J739_LACRH	unreviewed	Glyoxalase-like domain protein	BN934_01513	Lactobacillus rhamnosus	136
A0A171JAF6	A0A171JAF6_LACRH	unreviewed	Chloride channel protein	eriC BN934_02692	Lactobacillus rhamnosus	526
A0A171J424	A0A171J424_LACRH	unreviewed	Ribose ABC transporter ATPase	spaF_1 BN934_00438	Lactobacillus rhamnosus	211
A0A171J776	A0A171J776_LACRH	unreviewed	Uncharacterized protein	BN934_01550	Lactobacillus rhamnosus	496
A0A171J559	A0A171J559_LACRH	unreviewed	Adhesion exoprotein	BN934_00824	Lactobacillus rhamnosus	920
A0A171J7V1	A0A171J7V1_LACRH	unreviewed	MutT/nudix family phosphohydrolase	BN934_01776	Lactobacillus rhamnosus	63
A0A171J7U1	A0A171J7U1_LACRH	unreviewed	Uncharacterized protein	BN934_01766	Lactobacillus rhamnosus	71
A0A171J864	A0A171J864_LACRH	unreviewed	Aminoglycoside phosphotransferase family protein	ytmP BN934_01894	Lactobacillus rhamnosus	257
A0A171JAH3	A0A171JAH3_LACRH	unreviewed	Lipoprotein ABC transporter permease	BN934_02710	Lactobacillus rhamnosus	298
A0A171J9J9	A0A171J9J9_LACRH	unreviewed	Uncharacterized protein	BN934_02381	Lactobacillus rhamnosus	164
A0A171JAA0	A0A171JAA0_LACRH	unreviewed	LaaL	laaL BN934_02636	Lactobacillus rhamnosus	151
A0A171J3X1	A0A171J3X1_LACRH	unreviewed	PTS system galactitol-specific transporter subunit IIB	pts_6 BN934_00385	Lactobacillus rhamnosus	109
A0A171J9Z1	A0A171J9Z1_LACRH	unreviewed	Uncharacterized protein	BN934_02525	Lactobacillus rhamnosus	189
A0A171J6I9	A0A171J6I9_LACRH	unreviewed	Aldo/keto reductase family oxidoreductase	tas BN934_01312	Lactobacillus rhamnosus	276
A0A171J3V7	A0A171J3V7_LACRH	unreviewed	PTS system transporter subunit IIB	BN934_00371	Lactobacillus rhamnosus	194
A0A171J6H9	A0A171J6H9_LACRH	unreviewed	Bacteriocin-type signal sequence alpha subunit-containing protein	BN934_01302	Lactobacillus rhamnosus	52
A0A171J7R5	A0A171J7R5_LACRH	unreviewed	Transporter major facilitator superfamily MFS_1	BN934_01740	Lactobacillus rhamnosus	467
A0A171J835	A0A171J835_LACRH	unreviewed	Bifunctional purine biosynthesis protein PurH	purH BN934_01864	Lactobacillus rhamnosus	507
A0A171J6M5	A0A171J6M5_LACRH	unreviewed	Probable potassium transport system protein kup	kup BN934_01348	Lactobacillus rhamnosus	684
A0A171J7J7	A0A171J7J7_LACRH	unreviewed	Lyzozyme M1	BN934_01671	Lactobacillus rhamnosus	698
A0A171J3X2	A0A171J3X2_LACRH	unreviewed	PTS system galactitol-specific transporter subunit IIC	pts_7 BN934_00386	Lactobacillus rhamnosus	461
A0A171J720	A0A171J720_LACRH	unreviewed	Multidrug ABC transporter ATPase and permease	cydC_2 BN934_01494	Lactobacillus rhamnosus	540
A0A171J7D6	A0A171J7D6_LACRH	unreviewed	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	BN934_01610	Lactobacillus rhamnosus	350
A0A171J658	A0A171J658_LACRH	unreviewed	ErfK/YbiS/YcfS/YnhG family protein	yciB BN934_01175	Lactobacillus rhamnosus	232
A0A171J877	A0A171J877_LACRH	unreviewed	Uncharacterized protein	BN934_01907	Lactobacillus rhamnosus	87
A0A171JAV0	A0A171JAV0_LACRH	unreviewed	Uncharacterized protein	BN934_02839	Lactobacillus rhamnosus	196
A0A171J550	A0A171J550_LACRH	unreviewed	Uncharacterized protein	BN934_00815	Lactobacillus rhamnosus	58
A0A171J8M1	A0A171J8M1_LACRH	unreviewed	Coproporphyrinogen III oxidase	BN934_02052	Lactobacillus rhamnosus	381
A0A171J8D3	A0A171J8D3_LACRH	unreviewed	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase)	miaA BN934_01963	Lactobacillus rhamnosus	319
A0A171J7A7	A0A171J7A7_LACRH	unreviewed	Uncharacterized protein	BN934_01581	Lactobacillus rhamnosus	81
A0A171J7F7	A0A171J7F7_LACRH	unreviewed	Transcriptional regulator	BN934_01631	Lactobacillus rhamnosus	297
A0A171JAT9	A0A171JAT9_LACRH	unreviewed	Uncharacterized protein	BN934_02828	Lactobacillus rhamnosus	114
A0A171JA64	A0A171JA64_LACRH	unreviewed	ImpB/MucB/SamB family protein	umuC BN934_02599	Lactobacillus rhamnosus	435
A0A171JAF7	A0A171JAF7_LACRH	unreviewed	Uncharacterized protein	BN934_02693	Lactobacillus rhamnosus	124
A0A171J615	A0A171J615_LACRH	unreviewed	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	ksgA rsmA BN934_01132	Lactobacillus rhamnosus	294
A0A171J7S8	A0A171J7S8_LACRH	unreviewed	H+/citrate symporter	BN934_01753	Lactobacillus rhamnosus	449
A0A171J8R2	A0A171J8R2_LACRH	unreviewed	Uncharacterized protein	BN934_02094	Lactobacillus rhamnosus	100
A0A171J2Y0	A0A171J2Y0_LACRH	unreviewed	HAD family sugar phosphatase	BN934_00040	Lactobacillus rhamnosus	40
A0A171J4C3	A0A171J4C3_LACRH	unreviewed	6-phosphogluconate dehydrogenase-like protein	gnd BN934_00538	Lactobacillus rhamnosus	302
A0A171J848	A0A171J848_LACRH	unreviewed	Glycerophosphodiester phosphodiesterase	BN934_01877	Lactobacillus rhamnosus	605
A0A171JAT0	A0A171JAT0_LACRH	unreviewed	Uncharacterized protein	BN934_02819	Lactobacillus rhamnosus	109
A0A171J590	A0A171J590_LACRH	unreviewed	Na+/malate symporter	BN934_00856	Lactobacillus rhamnosus	441
A0A171J901	A0A171J901_LACRH	unreviewed	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	hisB BN934_02183	Lactobacillus rhamnosus	195
A0A171J5W6	A0A171J5W6_LACRH	unreviewed	Aldo/keto reductase	yghZ BN934_01082	Lactobacillus rhamnosus	334
A0A171J478	A0A171J478_LACRH	unreviewed	PTS system transporter subunit IIAB	BN934_00492	Lactobacillus rhamnosus	644
A0A171J5X5	A0A171J5X5_LACRH	unreviewed	Tellurite resistance protein-like permease	ydiA BN934_01092	Lactobacillus rhamnosus	323
A0A171J8V8	A0A171J8V8_LACRH	unreviewed	UPF0398 protein BN934_02140	BN934_02140	Lactobacillus rhamnosus	191
A0A171J9H9	A0A171J9H9_LACRH	unreviewed	GAF domain-containing protein	yebR BN934_02361	Lactobacillus rhamnosus	160
A0A171J3K0	A0A171J3K0_LACRH	unreviewed	Periplasmic/secreted protein	BN934_00264	Lactobacillus rhamnosus	166
A0A171J9D1	A0A171J9D1_LACRH	unreviewed	TPR repeats containing protein	BN934_02313	Lactobacillus rhamnosus	223
A0A171J9T6	A0A171J9T6_LACRH	unreviewed	DNA-entry nuclease	BN934_02470	Lactobacillus rhamnosus	247
A0A171J3L9	A0A171J3L9_LACRH	unreviewed	Glutamine synthetase	glnA BN934_00283	Lactobacillus rhamnosus	447
A0A171J743	A0A171J743_LACRH	unreviewed	Uncharacterized protein	BN934_01517	Lactobacillus rhamnosus	137
A0A171J855	A0A171J855_LACRH	unreviewed	Membrane carboxypeptidase	BN934_01885	Lactobacillus rhamnosus	680
A0A171JAT7	A0A171JAT7_LACRH	unreviewed	Uncharacterized protein	BN934_02826	Lactobacillus rhamnosus	84
A0A171J6X7	A0A171J6X7_LACRH	unreviewed	Metal-dependent membrane protease	BN934_01450	Lactobacillus rhamnosus	214
A0A171J3P5	A0A171J3P5_LACRH	unreviewed	Dihydroxyacetone kinase subunit DhaK	BN934_00309	Lactobacillus rhamnosus	339
A0A171J5B9	A0A171J5B9_LACRH	unreviewed	Uncharacterized protein	BN934_00885	Lactobacillus rhamnosus	190
A0A171J4C1	A0A171J4C1_LACRH	unreviewed	H+/gluconate symporter related permease	BN934_00536	Lactobacillus rhamnosus	450
A0A171J2Z8	A0A171J2Z8_LACRH	unreviewed	Small-conductance mechanosensitive channel	BN934_00058	Lactobacillus rhamnosus	294
A0A171J5M9	A0A171J5M9_LACRH	unreviewed	Sorbitol PTS, EIIBC (EC 2.7.1.69)	pts37BC BN934_00995	Lactobacillus rhamnosus	371
A0A171J863	A0A171J863_LACRH	unreviewed	ABC transporter permease	BN934_01893	Lactobacillus rhamnosus	404
A0A171JA17	A0A171JA17_LACRH	unreviewed	Protein translocase subunit SecA	secA_1 secA BN934_02551	Lactobacillus rhamnosus	1023
A0A171JAS5	A0A171JAS5_LACRH	unreviewed	Uncharacterized protein	BN934_02814	Lactobacillus rhamnosus	202
A0A171J7B2	A0A171J7B2_LACRH	unreviewed	Uncharacterized protein	BN934_01586	Lactobacillus rhamnosus	78
A0A171J6J9	A0A171J6J9_LACRH	unreviewed	Pilus specific protein	spaE BN934_01322	Lactobacillus rhamnosus	451
A0A171J9G2	A0A171J9G2_LACRH	unreviewed	MutT/nudix family phosphohydrolase	BN934_02344	Lactobacillus rhamnosus	51
A0A171J993	A0A171J993_LACRH	unreviewed	Multidrug ABC transporter ATPase and permease	yknV BN934_02275	Lactobacillus rhamnosus	617
A0A171J493	A0A171J493_LACRH	unreviewed	Permease IIC component	pts_8 BN934_00507	Lactobacillus rhamnosus	438
A0A171J3P2	A0A171J3P2_LACRH	unreviewed	Uncharacterized protein	BN934_00306	Lactobacillus rhamnosus	202
A0A171J6G0	A0A171J6G0_LACRH	unreviewed	Major facilitator superfamily permease	BN934_01283	Lactobacillus rhamnosus	434
A0A171JA36	A0A171JA36_LACRH	unreviewed	Uncharacterized protein	BN934_02571	Lactobacillus rhamnosus	140
A0A171J5M4	A0A171J5M4_LACRH	unreviewed	Antitoxin	BN934_00990	Lactobacillus rhamnosus	89
A0A171JAU1	A0A171JAU1_LACRH	unreviewed	Replisome organizer, phage associated	BN934_02830	Lactobacillus rhamnosus	275
A0A171J6M4	A0A171J6M4_LACRH	unreviewed	Pyruvate phosphate dikinase	ppdK BN934_01347	Lactobacillus rhamnosus	876
A0A171J4N1	A0A171J4N1_LACRH	unreviewed	Lactate dehydrogenase	BN934_00646	Lactobacillus rhamnosus	333
A0A171J623	A0A171J623_LACRH	unreviewed	Bifunctional protein GlmU	glmU BN934_01140	Lactobacillus rhamnosus	462
A0A171J4Y5	A0A171J4Y5_LACRH	unreviewed	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	uxaC BN934_00750	Lactobacillus rhamnosus	477
A0A171J7Y2	A0A171J7Y2_LACRH	unreviewed	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC BN934_01810	Lactobacillus rhamnosus	265
A0A171J3V2	A0A171J3V2_LACRH	unreviewed	6-phospho-beta-glucosidase	bglA_1 BN934_00366	Lactobacillus rhamnosus	494
A0A171J9H8	A0A171J9H8_LACRH	unreviewed	Septation ring formation regulator EzrA	ezrA BN934_02360	Lactobacillus rhamnosus	567
A0A171JAK5	A0A171JAK5_LACRH	unreviewed	Protein RecA (Recombinase A)	recA BN934_02742	Lactobacillus rhamnosus	350
A0A171J4T0	A0A171J4T0_LACRH	unreviewed	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA BN934_00695	Lactobacillus rhamnosus	447
A0A171J5K9	A0A171J5K9_LACRH	unreviewed	M20 family dipeptidase	BN934_00975	Lactobacillus rhamnosus	439
A0A171J4T2	A0A171J4T2_LACRH	unreviewed	N-acetyldiaminopimelate deacetylase (EC 3.5.1.47)	hipO BN934_00697	Lactobacillus rhamnosus	383
A0A171J6K8	A0A171J6K8_LACRH	unreviewed	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)	proA BN934_01331	Lactobacillus rhamnosus	418
A0A171J4U1	A0A171J4U1_LACRH	unreviewed	TetR family transcriptional regulator	BN934_00706	Lactobacillus rhamnosus	201
A0A171J796	A0A171J796_LACRH	unreviewed	Acetyl-CoA carboxylase carboxyl transferase,alpha subunit	accA BN934_01570	Lactobacillus rhamnosus	257
A0A171J471	A0A171J471_LACRH	unreviewed	Beta-galactosidase (GH35)	bgaC BN934_00485	Lactobacillus rhamnosus	593
A0A171J670	A0A171J670_LACRH	unreviewed	RNA binding S1 domain-containing protein	yabR BN934_01187	Lactobacillus rhamnosus	159
A0A171J5B5	A0A171J5B5_LACRH	unreviewed	Amino acid ABC transporter substrate-binding protein	BN934_00881	Lactobacillus rhamnosus	535
A0A171J317	A0A171J317_LACRH	unreviewed	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase)	alaS BN934_00077	Lactobacillus rhamnosus	881
A0A171J3N1	A0A171J3N1_LACRH	unreviewed	Uncharacterized protein	BN934_00295	Lactobacillus rhamnosus	71
A0A171J3S6	A0A171J3S6_LACRH	unreviewed	p-nitrobenzoate reductase	BN934_00340	Lactobacillus rhamnosus	227
A0A171J477	A0A171J477_LACRH	unreviewed	PTS system transporter subunit IIA	ptsN BN934_00491	Lactobacillus rhamnosus	151
A0A171J8M3	A0A171J8M3_LACRH	unreviewed	Protein GrpE (HSP-70 cofactor)	grpE BN934_02054	Lactobacillus rhamnosus	197
A0A171J8R3	A0A171J8R3_LACRH	unreviewed	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase)	hisS BN934_02095	Lactobacillus rhamnosus	430
A0A171J4Q6	A0A171J4Q6_LACRH	unreviewed	ABC transporter permease	ileS BN934_00671	Lactobacillus rhamnosus	1097
A0A171J512	A0A171J512_LACRH	unreviewed	ABC transporter permease	BN934_00777	Lactobacillus rhamnosus	250
A0A171J597	A0A171J597_LACRH	unreviewed	Uncharacterized protein	BN934_00863	Lactobacillus rhamnosus	330
A0A171J5B0	A0A171J5B0_LACRH	unreviewed	Membrane protein	BN934_00876	Lactobacillus rhamnosus	238
A0A171J9R2	A0A171J9R2_LACRH	unreviewed	Mur ligase family protein	murC_2 BN934_02444	Lactobacillus rhamnosus	450
A0A171J9Y9	A0A171J9Y9_LACRH	unreviewed	Phage-related transcriptional regulator Cro/CI family protein	Cpg BN934_02523	Lactobacillus rhamnosus	111
A0A171JA51	A0A171JA51_LACRH	unreviewed	Transporter major facilitator superfamily MFS_1	yttB BN934_02586	Lactobacillus rhamnosus	399
A0A171JAQ9	A0A171JAQ9_LACRH	unreviewed	Glutamyl-tRNA synthetase (EC 6.1.1.17)	BN934_02798	Lactobacillus rhamnosus	137
A0A171JAV5	A0A171JAV5_LACRH	unreviewed	Phage super infection exclusion	BN934_02844	Lactobacillus rhamnosus	261
A0A171J3K7	A0A171J3K7_LACRH	unreviewed	Two component sensor transduction histidine kinase	resE BN934_00271	Lactobacillus rhamnosus	374
A0A171J713	A0A171J713_LACRH	unreviewed	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	cas1 BN934_01487	Lactobacillus rhamnosus	331
A0A171J838	A0A171J838_LACRH	unreviewed	Copper-translocating P-type ATPase	copB BN934_01867	Lactobacillus rhamnosus	741
A0A171J9V8	A0A171J9V8_LACRH	unreviewed	Phage Mu protein F like protein	BN934_02492	Lactobacillus rhamnosus	235
A0A171JAQ1	A0A171JAQ1_LACRH	unreviewed	Lyzozyme M1 (1,4-beta-N-acetylmuramidase)	BN934_02790	Lactobacillus rhamnosus	432
A0A171JAS7	A0A171JAS7_LACRH	unreviewed	Uncharacterized protein	BN934_02816	Lactobacillus rhamnosus	57
A0A171J372	A0A171J372_LACRH	unreviewed	Uncharacterized protein	BN934_00132	Lactobacillus rhamnosus	99
A0A171J7V2	A0A171J7V2_LACRH	unreviewed	Ribosomal-protein-S5-alanine acetyltransferase	BN934_01777	Lactobacillus rhamnosus	242
A0A171J9I5	A0A171J9I5_LACRH	unreviewed	Amino acid permease	BN934_02367	Lactobacillus rhamnosus	433
A0A171J3M7	A0A171J3M7_LACRH	unreviewed	Uncharacterized protein	BN934_00291	Lactobacillus rhamnosus	95
A0A171J5R2	A0A171J5R2_LACRH	unreviewed	Transcriptional regulator IclR family protein	kdgR_2 BN934_01028	Lactobacillus rhamnosus	255
A0A171J8S1	A0A171J8S1_LACRH	unreviewed	Phosphate starvation-inducible protein PhoH, ATPase	BN934_02103	Lactobacillus rhamnosus	328
A0A171J9P9	A0A171J9P9_LACRH	unreviewed	MutT/nudix family phosphohydrolase	BN934_02431	Lactobacillus rhamnosus	76
A0A171J7S3	A0A171J7S3_LACRH	unreviewed	PadR family transcriptional regulator	BN934_01748	Lactobacillus rhamnosus	114
A0A171JA33	A0A171JA33_LACRH	unreviewed	Aminopeptidase S	ampS BN934_02567	Lactobacillus rhamnosus	411
A0A171J979	A0A171J979_LACRH	unreviewed	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	elaC rnz BN934_02261	Lactobacillus rhamnosus	319
A0A171J464	A0A171J464_LACRH	unreviewed	Uncharacterized protein	BN934_00478	Lactobacillus rhamnosus	423
A0A171J5A4	A0A171J5A4_LACRH	unreviewed	Fructosamine-3-kinase	BN934_00870	Lactobacillus rhamnosus	288
A0A171J722	A0A171J722_LACRH	unreviewed	PTS system beta-glucoside-specific transporter subunit IIABC	bglF_2 BN934_01496	Lactobacillus rhamnosus	611
A0A171J7X0	A0A171J7X0_LACRH	unreviewed	Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)	pck BN934_01797	Lactobacillus rhamnosus	550
A0A171J928	A0A171J928_LACRH	unreviewed	Tyrosine recombinase XerC	xerC_1 xerC BN934_02210	Lactobacillus rhamnosus	298
A0A171J3R2	A0A171J3R2_LACRH	unreviewed	PTS system transporter subunit IID (EC 2.7.1.69)	levG_1 BN934_00326	Lactobacillus rhamnosus	273
A0A171J9M5	A0A171J9M5_LACRH	unreviewed	Uncharacterized protein	BN934_02407	Lactobacillus rhamnosus	322
A0A171J6F7	A0A171J6F7_LACRH	unreviewed	Cation efflux protein	BN934_01280	Lactobacillus rhamnosus	213
A0A171J318	A0A171J318_LACRH	unreviewed	Acetyltransferase	wecD_1 BN934_00078	Lactobacillus rhamnosus	114
A0A171J6X5	A0A171J6X5_LACRH	unreviewed	Uncharacterized protein	BN934_01448	Lactobacillus rhamnosus	356
A0A171J779	A0A171J779_LACRH	unreviewed	Cellulose synthase catalytic subunit (EC 2.4.1.12)	BN934_01553	Lactobacillus rhamnosus	310
A0A171J827	A0A171J827_LACRH	unreviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK_1 purK BN934_01856	Lactobacillus rhamnosus	371
A0A171J3G9	A0A171J3G9_LACRH	unreviewed	Beta-glucoside-specific PTS system IIABC component	BN934_00232	Lactobacillus rhamnosus	666
A0A171J7R1	A0A171J7R1_LACRH	unreviewed	Alpha/beta hydrolase superfamily protein	BN934_01736	Lactobacillus rhamnosus	284
A0A171J8U3	A0A171J8U3_LACRH	unreviewed	Uncharacterized protein	BN934_02125	Lactobacillus rhamnosus	96
A0A171J8U4	A0A171J8U4_LACRH	unreviewed	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase)	fni BN934_02126	Lactobacillus rhamnosus	344
A0A171J654	A0A171J654_LACRH	unreviewed	Uncharacterized protein	BN934_01171	Lactobacillus rhamnosus	98
A0A171J988	A0A171J988_LACRH	unreviewed	Uncharacterized protein	BN934_02270	Lactobacillus rhamnosus	53
